,date,CELG_adjusted_close,CELG_cumulative_return,CELG_value,FB_adjusted_close,FB_cumulative_return,FB_value,GOOG_adjusted_close,GOOG_cumulative_return,GOOG_value,NVDA_adjusted_close,NVDA_cumulative_return,NVDA_value,SPY_adjusted_close,SPY_cumulative_return,SPY_value,portfolio_cumulative_return,portfolio_value
0,2016-10-06,104.03,1.0,0.3,128.74,1.0,0.2,776.86,1.0,0.3,67.34,1.0,0.2,215.78,1.0,1.0,1.0,1.0
1,2016-10-07,104.07,1.00038,0.300114,128.99,1.00194,0.200388,775.08,0.997709,0.2993127,66.85,0.992724,0.19854480000000002,215.04,0.996571,0.996571,0.9983595000000001,0.9983595000000001
2,2016-10-10,104.27,1.00231,0.300693,130.24,1.01165,0.20233,785.94,1.01169,0.30350699999999997,67.1,0.996436,0.1992872,216.16,1.00176,1.00176,1.0058172,1.0058172
3,2016-10-11,101.64,0.977026,0.2931078,128.88,1.00109,0.200218,783.07,1.00799,0.30239699999999997,66.13,0.982032,0.1964064,213.43,0.989109,0.989109,0.9921291999999999,0.9921291999999999
4,2016-10-12,100.1,0.962222,0.2886666,129.05,1.00241,0.20048200000000002,786.14,1.01195,0.30358499999999994,66.43,0.986487,0.1972974,213.71,0.990407,0.990407,0.9900310000000001,0.9900310000000001
5,2016-10-13,100.63,0.967317,0.2901951,127.82,0.992854,0.19857080000000002,778.19,1.00171,0.30051300000000003,65.35,0.970448,0.1940896,213.01,0.987163,0.987163,0.9833685000000001,0.9833685000000001
6,2016-10-14,98.5,0.946842,0.2840526,127.88,0.99332,0.198664,778.53,1.00215,0.300645,65.99,0.979953,0.19599060000000001,213.12,0.987673,0.987673,0.9793521999999999,0.9793521999999999
7,2016-10-17,99.64,0.957801,0.2873403,127.54,0.990679,0.1981358,779.96,1.00399,0.301197,65.61,0.97431,0.194862,212.38,0.984243,0.984243,0.9815351,0.9815351
8,2016-10-18,100.06,0.961838,0.28855139999999996,128.57,0.99868,0.19973600000000002,795.26,1.02369,0.30710699999999996,66.61,0.98916,0.197832,213.71,0.990407,0.990407,0.9932264,0.9932264
9,2016-10-19,100.02,0.961453,0.28843589999999997,130.11,1.01064,0.202128,801.56,1.03179,0.309537,66.47,0.987081,0.19741620000000001,214.28,0.993048,0.993048,0.9975171,0.9975171
10,2016-10-20,100.02,0.961453,0.28843589999999997,130.0,1.00979,0.201958,796.97,1.02589,0.30776699999999996,67.73,1.00579,0.201158,213.88,0.991195,0.991195,0.9993188999999999,0.9993188999999999
11,2016-10-21,98.91,0.950783,0.2852349,132.07,1.02587,0.20517400000000002,799.37,1.02898,0.30869399999999997,67.54,1.00297,0.200594,213.98,0.991658,0.991658,0.9996969,0.9996969
12,2016-10-24,98.07,0.942709,0.2828127,133.28,1.03526,0.207052,813.11,1.04666,0.31399799999999994,70.71,1.05004,0.21000800000000003,214.89,0.995875,0.995875,1.0138707,1.0138707
13,2016-10-25,97.63,0.938479,0.28154369999999995,132.29,1.02757,0.20551400000000003,807.67,1.03966,0.311898,71.87,1.06727,0.213454,214.17,0.992539,0.992539,1.0124097,1.0124097
14,2016-10-26,98.41,0.945977,0.28379309999999996,131.04,1.01787,0.20357400000000003,799.07,1.02859,0.30857699999999993,72.16,1.07158,0.214316,213.74,0.990546,0.990546,1.0102601,1.0102601
15,2016-10-27,104.72,1.00663,0.30198899999999995,129.69,1.00738,0.201476,795.35,1.0238,0.30714,70.68,1.0496,0.20992000000000002,213.17,0.987904,0.987904,1.0205250000000001,1.0205250000000001
16,2016-10-28,103.9,0.99875,0.299625,131.29,1.01981,0.20396200000000003,795.37,1.02383,0.307149,70.56,1.04782,0.209564,212.54,0.984985,0.984985,1.0203,1.0203
17,2016-10-31,102.18,0.982217,0.2946651,130.99,1.01748,0.203496,784.54,1.00989,0.302967,71.16,1.05673,0.211346,212.55,0.985031,0.985031,1.0124741,1.0124741
18,2016-11-01,104.09,1.00058,0.300174,129.5,1.0059,0.20118000000000003,783.61,1.00869,0.302607,69.05,1.02539,0.205078,211.01,0.977894,0.977894,1.009039,1.009039
19,2016-11-02,102.85,0.988657,0.2965971,127.17,0.987805,0.19756100000000001,768.7,0.989496,0.2968488,68.76,1.02109,0.204218,209.74,0.972009,0.972009,0.9952249000000001,0.9952249000000001
20,2016-11-03,102.35,0.983851,0.2951553,120.0,0.932111,0.1864222,762.13,0.981039,0.2943117,67.96,1.00921,0.201842,208.78,0.96756,0.96756,0.9777311999999999,0.9777311999999999
21,2016-11-04,103.44,0.994329,0.29829869999999997,120.75,0.937937,0.18758740000000002,762.02,0.980897,0.2942691,67.57,1.00342,0.200684,208.55,0.966494,0.966494,0.9808391999999999,0.9808391999999999
22,2016-11-07,107.49,1.03326,0.30997800000000003,122.15,0.948812,0.1897624,782.52,1.00729,0.302187,71.27,1.05836,0.211672,213.15,0.987812,0.987812,1.0135994,1.0135994
23,2016-11-08,108.45,1.04249,0.31274699999999994,124.22,0.96489,0.192978,790.51,1.01757,0.305271,71.16,1.05673,0.211346,214.11,0.992261,0.992261,1.022342,1.022342
24,2016-11-09,120.07,1.15419,0.346257,123.18,0.956812,0.19136240000000002,785.31,1.01088,0.303264,69.96,1.03891,0.20778200000000002,216.38,1.00278,1.00278,1.0486654,1.0486654
25,2016-11-10,121.06,1.1637,0.34911,120.8,0.938325,0.187665,762.56,0.981593,0.2944779,67.77,1.00639,0.20127799999999998,216.92,1.00528,1.00528,1.0325309,1.0325309
26,2016-11-11,119.45,1.14823,0.344469,119.02,0.924499,0.1848998,754.02,0.9706,0.29118,87.97,1.30636,0.261272,216.42,1.00297,1.00297,1.0818208,1.0818208
27,2016-11-14,120.68,1.16005,0.348015,115.08,0.893895,0.17877900000000002,736.08,0.947507,0.2842521,83.64,1.24206,0.248412,216.59,1.00375,1.00375,1.0594581,1.0594581
28,2016-11-15,120.91,1.16226,0.348678,117.2,0.910362,0.18207240000000002,758.49,0.976354,0.2929062,86.19,1.27992,0.255984,218.28,1.01159,1.01159,1.0796406,1.0796406
29,2016-11-16,119.69,1.15053,0.345159,116.34,0.903682,0.18073640000000002,764.48,0.984064,0.2952192,91.63,1.36071,0.27214200000000005,217.87,1.00969,1.00969,1.0932566000000001,1.0932566000000001
30,2016-11-17,122.08,1.17351,0.352053,117.79,0.914945,0.182989,771.23,0.992753,0.2978259,92.39,1.37199,0.27439800000000003,218.99,1.01488,1.01488,1.1072659,1.1072659
31,2016-11-18,121.97,1.17245,0.35173499999999996,117.02,0.908964,0.1817928,760.54,0.978992,0.2936976,93.36,1.3864,0.27728,218.5,1.01261,1.01261,1.1045053999999999,1.1045053999999999
32,2016-11-21,124.16,1.1935,0.35805,121.77,0.94586,0.189172,769.2,0.99014,0.297042,92.98,1.38075,0.27615,220.15,1.02025,1.02025,1.120414,1.120414
33,2016-11-22,120.97,1.16284,0.348852,121.47,0.94353,0.188706,768.27,0.988943,0.29668289999999997,93.65,1.3907,0.27814,220.58,1.02224,1.02224,1.1123809,1.1123809
34,2016-11-23,120.85,1.16168,0.348504,120.84,0.938636,0.1877272,760.99,0.979572,0.2938716,93.97,1.39546,0.279092,220.7,1.0228,1.0228,1.1091948,1.1091948
35,2016-11-25,121.06,1.1637,0.34911,120.38,0.935063,0.1870126,761.68,0.98046,0.294138,94.16,1.39828,0.279656,221.52,1.0266,1.0266,1.1099166,1.1099166
36,2016-11-28,120.3,1.1564,0.34692,120.41,0.935296,0.1870592,768.24,0.988904,0.29667119999999997,94.11,1.39753,0.279506,220.48,1.02178,1.02178,1.1101564,1.1101564
37,2016-11-29,122.13,1.17399,0.35219700000000004,120.87,0.938869,0.1877738,770.84,0.992251,0.2976753,93.25,1.38476,0.27695200000000003,220.91,1.02377,1.02377,1.1145981,1.1145981
38,2016-11-30,118.51,1.13919,0.341757,118.42,0.919838,0.1839676,758.04,0.975774,0.2927322,92.2,1.36917,0.273834,220.38,1.02132,1.02132,1.0922908,1.0922908
39,2016-12-01,118.87,1.14265,0.34279499999999996,115.1,0.89405,0.17881000000000002,747.92,0.962747,0.2888241,87.64,1.30146,0.260292,219.57,1.01756,1.01756,1.0707211,1.0707211
40,2016-12-02,117.63,1.13073,0.339219,115.4,0.89638,0.179276,750.5,0.966069,0.2898207,88.45,1.31348,0.262696,219.68,1.01807,1.01807,1.0710117,1.0710117
